ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/13319,Zeplin Marmara 2 Evleri - C19,Kavaklı Mahallesi Ayasofya Caddesi  No:2  İhlas Marmara Evleri 2.kısım 3.ada C19 Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9844795147954,28.6558250770537,Europe
ŞRJ/7902,"Asmalı Bahçe AC (15,16,18)",Bahçeşehir 1. Kısım Mah. Mahallesi G-3006 Cd. No:5 A Blok Caddesi Başakşehir / İSTANBUL,ÖZKA ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,PLECO advertise.charge.,41.0718434658002,28.6636892049409,Europe
ŞRJ/3779,Kaya Otel İstanbul,Cumhuriyet Mahallesi Eski Hadımköy Yolu No:36 Sokağı  Kıraç Köyü Esenyurt / İSTANBUL,ÖZKA ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,PLECO advertise.charge.,41.0280402571238,28.6227688396357,Europe
ŞRJ/7910,Toki Açelya Evleri B1-40 Blok Karşısı Otoparkı,Atakent Mahallesi 235. Sokağı  No:B1-40. Blok Küçükçekmece / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.0406918484085,28.7808671646946,Europe
ŞRJ/7913,Bahçeşehir Park 2. Etap Site Otoparkı,Başakşehir 2.kısım Mahallesi Hill Park Evleri Caddesi Barış Sokağı  No:2.Etap C Blok Başakşehir / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.0736384562007,28.6628874616601,Europe
ŞRJ/7916,Halkalı 2.Etap 2.Kısım Akasya Toplu Konutları Site Otoparkı,Atakent Mahallesi Şht. Ylmaz Özdemir Caddesi  No:58 Küçükçekmece / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.0433183323076,28.7875627144395,Europe
ŞRJ/7919,İgs İstanbul Giyim Sanayi Ticaret Anonim Şirketi 1,Cihangir Mahallesi E5 Yanyol Londra Asfaltı Caddesi  No:197 Avcılar / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,40.9886508522373,28.7165378531168,Europe
ŞRJ/7920,Dekar Asmalı Bahçeler Asmalı Bahçe Şehir Otoparkı,Bahçeşehir 1. Kısım Mahallesi Başöğretmen Caddesi  No:9/1 Başakşehir / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.097055370281,28.6783470665515,Europe
ŞRJ/7929,İSTANBUL LOUNGE 1,Atakent Mahallesi 219 Sokağı Küçükçekmece / İSTANBUL,MİTHRA POD ELEKTRİK VE ELEKTRONİK OTOMASYON SİSTEMLERİ İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MITHRA POD,41.0412161622028,28.7654634773273,Europe
ŞRJ/7964,Shell Yakuplu Sanayi,Beylikdüzü Osb Mahallesi 16. Caddesi  No:No:3  Mermerciler Sanayi Sitesi Beylikdüzü / İSTANBUL,SHELL & TURCAS PETROL ANONİM ŞİRKETİ,SHELL,40.9950671183666,28.66005187052,Europe
